link,missing_rate,method_type,method,rmse,nrmse,r2,mape
ba-ac,0.5,baseline,ForwardFill,93.72,12.29,0.11965763080651448,50.43
ba-ac,0.5,baseline,BackwardFill,92.47,12.13,0.14303399078988277,50.4
ba-ac,0.5,baseline,RollingMean,92.25,12.1,0.14704448359992284,50.54
ba-ac,0.5,baseline,LinearInterpolation,86.49,11.34,0.25025221588620483,50.06
ba-ac,0.5,stacking,StackingRegressor,46.09,6.29,0.6307,13.0433
ce-ac,0.2,baseline,Mean,89.48,11.52,-0.007222295985028548,9.6
ce-ac,0.2,baseline,Median,89.18,11.48,-0.0006085152670520788,9.57
ce-ac,0.2,baseline,KNNImputer,89.48,11.52,-0.007222295985028548,9.6
ce-ac,0.2,baseline,ForwardFill,104.18,13.41,-0.3654506475822814,9.47
ce-ac,0.2,baseline,BackwardFill,97.76,12.59,-0.20228154276457055,9.43
ce-ac,0.2,baseline,RollingMean,93.03,11.98,-0.08887673037047428,8.57
ce-ac,0.2,baseline,LinearInterpolation,89.09,11.47,0.001440403686756464,8.69
ce-ac,0.2,stacking,StackingRegressor,32.982,4.356,0.7948,11.984
ce-ac,0.25,baseline,Mean,92.47,11.87,-0.014254662412196417,9.95
ce-ac,0.25,baseline,Median,92.04,11.82,-0.004902634914967896,9.9
ce-ac,0.25,baseline,KNNImputer,92.47,11.87,-0.014254662412196417,9.95
ce-ac,0.25,baseline,ForwardFill,98.51,12.65,-0.1511633565504893,9.08
ce-ac,0.25,baseline,BackwardFill,92.69,11.9,-0.019142637046385413,8.95
ce-ac,0.25,baseline,RollingMean,92.25,11.85,-0.009383396997027615,8.56
ce-ac,0.25,baseline,LinearInterpolation,82.83,10.64,0.18622897445298514,8.15
ce-ac,0.25,stacking,StackingRegressor,38.605,5.1025,0.7475,12.855
ce-ac,0.3,baseline,Mean,91.78,11.76,-0.024847801829691152,9.89
ce-ac,0.3,baseline,Median,91.23,11.69,-0.012731825784920936,9.83
ce-ac,0.3,baseline,KNNImputer,91.78,11.76,-0.024847801829691152,9.89
ce-ac,0.3,baseline,ForwardFill,94.59,12.12,-0.08850445508342109,8.63
ce-ac,0.3,baseline,BackwardFill,91.58,11.73,-0.020521161480286043,8.91
ce-ac,0.3,baseline,RollingMean,88.73,11.37,0.04218528420317247,8.22
ce-ac,0.3,baseline,LinearInterpolation,80.08,10.26,0.21972479025809788,7.9
ce-ac,0.3,stacking,StackingRegressor,39.06,5.2067,0.7335,13.5533
ce-ac,0.35,baseline,Mean,94.88,12.23,-0.007988606084957661,10.46
ce-ac,0.35,baseline,Median,94.59,12.19,-0.0018367142381603418,10.43
ce-ac,0.35,baseline,KNNImputer,94.88,12.23,-0.007988606084957661,10.46
ce-ac,0.35,baseline,ForwardFill,94.51,12.18,-0.0002189482665022613,9.3
ce-ac,0.35,baseline,BackwardFill,93.74,12.08,0.016013891281261183,9.52
ce-ac,0.35,baseline,RollingMean,90.12,11.61,0.09065732820719752,8.97
ce-ac,0.35,baseline,LinearInterpolation,83.94,10.82,0.21100322605550326,8.49
ce-ac,0.35,stacking,StackingRegressor,39.06,5.2067,0.7335,13.5533
ce-ac,0.4,baseline,Mean,94.46,12.17,-0.011001658370595857,10.41
ce-ac,0.4,baseline,Median,94.13,12.12,-0.003970421391879642,10.38
ce-ac,0.4,baseline,KNNImputer,94.46,12.17,-0.011001658370595857,10.41
ce-ac,0.4,baseline,ForwardFill,93.24,12.01,0.014944925915729046,9.19
ce-ac,0.4,baseline,BackwardFill,93.15,12.0,0.016871888719071637,9.35
ce-ac,0.4,baseline,RollingMean,88.75,11.43,0.10766267197225254,8.81
ce-ac,0.4,baseline,LinearInterpolation,83.28,10.73,0.21416381173756804,8.34
ce-ac,0.4,stacking,StackingRegressor,39.06,5.2067,0.7335,13.5533
ce-ac,0.45,baseline,Mean,93.29,12.01,-0.01596078182277294,10.25
ce-ac,0.45,baseline,Median,92.93,11.96,-0.008216813039618298,10.22
ce-ac,0.45,baseline,KNNImputer,93.29,12.01,-0.01596078182277294,10.25
ce-ac,0.45,baseline,ForwardFill,95.44,12.28,-0.06342549445865142,9.37
ce-ac,0.45,baseline,BackwardFill,97.11,12.5,-0.10074150256282266,9.54
ce-ac,0.45,baseline,RollingMean,91.1,11.72,0.03129229007227763,8.98
ce-ac,0.45,baseline,LinearInterpolation,86.42,11.12,0.1281617788420174,8.53
ce-ac,0.45,stacking,StackingRegressor,39.06,5.2067,0.7335,13.5533
ce-ac,0.5,baseline,Mean,93.54,12.07,-0.008068424392203122,10.34
ce-ac,0.5,baseline,Median,93.33,12.05,-0.0034631299700949025,10.32
ce-ac,0.5,baseline,KNNImputer,93.54,12.07,-0.008068424392203122,10.34
ce-ac,0.5,baseline,ForwardFill,97.58,12.59,-0.09686061514155409,9.47
ce-ac,0.5,baseline,BackwardFill,99.38,12.83,-0.13789649975981977,9.73
ce-ac,0.5,baseline,RollingMean,94.44,12.19,-0.027515616846833346,9.21
ce-ac,0.5,baseline,LinearInterpolation,87.72,11.32,0.11359699996574779,8.61
ce-ac,0.5,stacking,StackingRegressor,39.06,5.2067,0.7335,13.5533
es-ac,0.2,baseline,Mean,89.74,11.76,-0.0014162691884485046,10.08
es-ac,0.2,baseline,Median,89.7,11.76,-0.0004483970872852794,10.11
es-ac,0.2,baseline,KNNImputer,89.74,11.76,-0.0014162691884485046,10.08
es-ac,0.2,baseline,ForwardFill,86.18,11.3,0.07648127714186759,8.54
es-ac,0.2,baseline,BackwardFill,90.54,11.87,-0.019455038303841876,8.58
es-ac,0.2,baseline,RollingMean,82.11,10.77,0.16153862550377363,8.14
es-ac,0.2,baseline,LinearInterpolation,72.35,9.48,0.3491638913778733,7.13
es-ac,0.2,stacking,StackingRegressor,30.898,4.114,0.8252,3.82
es-ac,0.25,baseline,Mean,90.69,11.99,-0.002763163617620412,10.38
es-ac,0.25,baseline,Median,91.11,12.04,-0.01220562851256246,10.46
es-ac,0.25,baseline,KNNImputer,90.69,11.99,-0.002763163617620412,10.38
es-ac,0.25,baseline,ForwardFill,87.79,11.6,0.060205685450254176,8.77
es-ac,0.25,baseline,BackwardFill,88.62,11.71,0.04247252099633059,8.69
es-ac,0.25,baseline,RollingMean,84.17,11.13,0.1361406544689413,8.46
es-ac,0.25,baseline,LinearInterpolation,72.46,9.58,0.35982135387504655,7.32
es-ac,0.25,stacking,StackingRegressor,31.68,4.2625,0.798,4.0825
es-ac,0.3,baseline,Mean,91.62,12.1,-0.0023165558631217387,10.42
es-ac,0.3,baseline,Median,92.01,12.15,-0.010759267865194877,10.5
es-ac,0.3,baseline,KNNImputer,91.62,12.1,-0.0023165558631217387,10.42
es-ac,0.3,baseline,ForwardFill,86.78,11.46,0.10072566528197768,8.67
es-ac,0.3,baseline,BackwardFill,88.42,11.68,0.06649396740320934,8.74
es-ac,0.3,baseline,RollingMean,84.04,11.1,0.15670487133255495,8.46
